url	source_name	name	form	rig
https://jaytiss.squig.link/data/Volur%20m15%20R.txt	64 AUDIO Volur m15	64 Audio Volur (m15 Apex module)	in-ear	711
https://jaytiss.squig.link/data/Volur%20m20%20L.txt	64 AUDIO Volur m20	64 Audio Volur (m20 Apex module)	in-ear	711
https://jaytiss.squig.link/data/Volur%20m20%20R.txt	64 AUDIO Volur m20	64 Audio Volur (m20 Apex module)	in-ear	711
https://jaytiss.squig.link/data/Volur%20MX%20L.txt	64 AUDIO Volur MX	64 Audio Volur (mX Apex module)	in-ear	711
https://jaytiss.squig.link/data/Volur%20MX%20R.txt	64 AUDIO Volur MX	64 Audio Volur (mX Apex module)	in-ear	711
https://jaytiss.squig.link/data/Aurora%20L.txt	7hz Aurora	7Hz Aurora	in-ear	711
https://jaytiss.squig.link/data/Aurora%20R.txt	7hz Aurora	7Hz Aurora	in-ear	711
https://jaytiss.squig.link/data/7hz%20Five%20L.txt	7hz Five	7Hz Five	in-ear	711
https://jaytiss.squig.link/data/7hz%20Five%20R.txt	7hz Five	7Hz Five	in-ear	711
https://jaytiss.squig.link/data/G1%20L.txt	7hz G1	7Hz G1	in-ear	711
https://jaytiss.squig.link/data/G1%20R.txt	7hz G1	7Hz G1	in-ear	711
https://jaytiss.squig.link/data/Dioko%20L.txt	7hz Dioko	7Hz Salnotes Dioko	in-ear	711
https://jaytiss.squig.link/data/Dioko%20R.txt	7hz Dioko	7Hz Salnotes Dioko	in-ear	711
https://jaytiss.squig.link/data/Salnotes%20Zero%20L.txt	7hz Salnotes Zero	7Hz Salnotes Zero	in-ear	711
https://jaytiss.squig.link/data/Salnotes%20Zero%20R.txt	7hz Salnotes Zero	7Hz Salnotes Zero	in-ear	711
https://jaytiss.squig.link/data/Sonus%20L.txt	7hz Sonus	7Hz Sonus	in-ear	711
https://jaytiss.squig.link/data/Sonus%20R.txt	7hz Sonus	7Hz Sonus	in-ear	711
https://jaytiss.squig.link/data/Timeless2%20L.txt	7hz Timeless 2  	7Hz Timeless II	in-ear	711
https://jaytiss.squig.link/data/Timeless2%20R.txt	7hz Timeless 2  	7Hz Timeless II	in-ear	711
https://jaytiss.squig.link/data/Timless2%20L.txt		7Hz Timless II	in-ear	711
https://jaytiss.squig.link/data/Timless2%20R.txt		7Hz Timless II	in-ear	711
https://jaytiss.squig.link/data/Zero2%20L.txt	7hz x Crinacle Zero:2	7Hz x Crinacle Zero 2	in-ear	711
https://jaytiss.squig.link/data/Zero2%20R.txt	7hz x Crinacle Zero:2	7Hz x Crinacle Zero 2	in-ear	711
https://jaytiss.squig.link/data/Elua%20L.txt	7hz x HBB Elua	7Hz x HBB Elua	in-ear	711
https://jaytiss.squig.link/data/Elua%20R.txt	7hz x HBB Elua	7Hz x HBB Elua	in-ear	711
https://jaytiss.squig.link/data/7a%20asteria%20L.txt		7a asteria	ignore	711
https://jaytiss.squig.link/data/7a%20asteria%20R.txt		7a asteria	ignore	711
https://jaytiss.squig.link/data/Timeless2%2030%20L.txt	7hz Timeless 2 30 ohm	7hz Timeless 2 30 ohm	ignore	711
https://jaytiss.squig.link/data/Timeless2%2030%20R.txt	7hz Timeless 2 30 ohm	7hz Timeless 2 30 ohm	ignore	711
https://jaytiss.squig.link/data/Stargazer%20L.txt	7th Acoustics Stargazer	7th Acoustics Stargazer	in-ear	711
https://jaytiss.squig.link/data/Stargazer%20R.txt	7th Acoustics Stargazer	7th Acoustics Stargazer	in-ear	711
https://jaytiss.squig.link/data/Supernova%20L.txt	7th Acoustics Supernova	7th Acoustics Supernova	in-ear	711
https://jaytiss.squig.link/data/Supernova%20R.txt	7th Acoustics Supernova	7th Acoustics Supernova	in-ear	711
https://jaytiss.squig.link/data/Cantor%20L.txt	Aful Cantor 	AFUL Cantor	in-ear	711
https://jaytiss.squig.link/data/Cantor%20R.txt	Aful Cantor 	AFUL Cantor	in-ear	711
https://jaytiss.squig.link/data/Explorer%20L.txt	Aful Explorer	AFUL Explorer	in-ear	711
https://jaytiss.squig.link/data/Explorer%20R.txt	Aful Explorer	AFUL Explorer	in-ear	711
https://jaytiss.squig.link/data/Magic%201%20L.txt	Aful MagicOne with Divinus Velvet L	AFUL MagicOne (Divinus Velvet L eartips)	ignore	711
https://jaytiss.squig.link/data/Magic%201%20R.txt	Aful MagicOne with Divinus Velvet L	AFUL MagicOne (Divinus Velvet L eartips)	ignore	711
https://jaytiss.squig.link/data/MagicFoam%20L.txt	Aful MagicOne with Foams	AFUL MagicOne (foam eartips)	in-ear	711
https://jaytiss.squig.link/data/MagicFoam%20R.txt	Aful MagicOne with Foams	AFUL MagicOne (foam eartips)	in-ear	711
https://jaytiss.squig.link/data/Performer%205%20L.txt	Aful Performer 5	AFUL Performer 5	in-ear	711
https://jaytiss.squig.link/data/Performer%205%20R.txt	Aful Performer 5	AFUL Performer 5	in-ear	711
https://jaytiss.squig.link/data/Aful%20P7%20L.txt	Aful P7 	AFUL Performer 7	in-ear	711
https://jaytiss.squig.link/data/Aful%20P7%20R.txt	Aful P7 	AFUL Performer 7	in-ear	711
https://jaytiss.squig.link/data/Performer%208%20L.txt	Aful Performer 8	AFUL Performer 8	in-ear	711
https://jaytiss.squig.link/data/Performer%208%20R.txt	Aful Performer 8	AFUL Performer 8	in-ear	711
https://jaytiss.squig.link/data/Aful%20P8%20L.txt	Aful Performer 8	AFUL Performer 8	in-ear	711
https://jaytiss.squig.link/data/Aful%20P8%20R.txt	Aful Performer 8	AFUL Performer 8	in-ear	711
https://jaytiss.squig.link/data/AMEAura%20L.txt	AME Aura	AME Aura	in-ear	711
https://jaytiss.squig.link/data/AMEAura%20R.txt	AME Aura	AME Aura	in-ear	711
https://jaytiss.squig.link/data/AMEGaia%20L.txt	AME Gaia	AME Gaia	in-ear	711
https://jaytiss.squig.link/data/AMEGaia%20R.txt	AME Gaia	AME Gaia	in-ear	711
https://jaytiss.squig.link/data/Mousa%20L.txt	AME Mousa	AME Mousa	in-ear	711
https://jaytiss.squig.link/data/Mousa%20R.txt	AME Mousa	AME Mousa	in-ear	711
https://jaytiss.squig.link/data/AMERadioso%20L.txt	AME Radioso	AME Radioso	in-ear	711
https://jaytiss.squig.link/data/AMERadioso%20R.txt	AME Radioso	AME Radioso	in-ear	711
https://jaytiss.squig.link/data/Raven%20L.txt	AME Raven KR version	AME Raven KR version	in-ear	711
https://jaytiss.squig.link/data/Raven%20R.txt	AME Raven KR version	AME Raven KR version	in-ear	711
https://jaytiss.squig.link/data/R1%20L.txt	ARTTI R1	ARTTI R1	in-ear	711
https://jaytiss.squig.link/data/R1%20R.txt	ARTTI R1	ARTTI R1	in-ear	711
https://jaytiss.squig.link/data/T10Pro%20L.txt	ARTTI T10 Pro	ARTTI T10 Pro	in-ear	711
https://jaytiss.squig.link/data/T10Pro%20R.txt	ARTTI T10 Pro	ARTTI T10 Pro	in-ear	711
https://jaytiss.squig.link/data/Aful%205.txt		Aful 5	ignore	
https://jaytiss.squig.link/data/Cantordeep%20L.txt	Aful Cantor Deep	Aful Cantor Deep	ignore	711
https://jaytiss.squig.link/data/Cantordeep%20R.txt	Aful Cantor Deep	Aful Cantor Deep	ignore	711
https://jaytiss.squig.link/data/Aful%20P7%20v3%20R.txt		Aful P7 v3	ignore	711
https://jaytiss.squig.link/data/Aful%20P710%20L.txt	Aful P7 with 10 ohm adapter	Aful P7 with 10 ohm adapter	ignore	711
https://jaytiss.squig.link/data/Aful%20P710%20R.txt	Aful P7 with 10 ohm adapter	Aful P7 with 10 ohm adapter	ignore	711
https://jaytiss.squig.link/data/Aful%20v2%20P7%20R.txt		Aful v2 P7	ignore	711
https://jaytiss.squig.link/data/Aful%20v3%20P7%20L.txt		Aful v3 P7	ignore	711
https://jaytiss.squig.link/data/Fei%20Wan%20L.txt	Aroma Audio Fei Wan	Aroma Audio Fei Wan	in-ear	711
https://jaytiss.squig.link/data/Fei%20Wan%20R.txt	Aroma Audio Fei Wan	Aroma Audio Fei Wan	in-ear	711
https://jaytiss.squig.link/data/Asg%202.5%201%202%20Open%20L.txt		Asg 2.5 1 2 Open	ignore	711
https://jaytiss.squig.link/data/Asg%202.5%201%202%20Open%20R.txt		Asg 2.5 1 2 Open	ignore	711
https://jaytiss.squig.link/data/Asg%202.5%201_4%20Open%20L.txt		Asg 2.5 1_4 Open	ignore	711
https://jaytiss.squig.link/data/Asg%202.5%201_4%20Open%20R.txt		Asg 2.5 1_4 Open	ignore	711
https://jaytiss.squig.link/data/Asg%202.5%20UP%20L.txt		Asg 2.5 UP	ignore	711
https://jaytiss.squig.link/data/Asg%202.5%20UP%20R.txt		Asg 2.5 UP	ignore	711
https://jaytiss.squig.link/data/Asg%202.5%20UP%20Aug%2028.txt		Asg 2.5 UP Aug 28	ignore	711
https://jaytiss.squig.link/data/DT%20200%20L.txt	Audiosense DT 200	Audiosense DT200	in-ear	711
https://jaytiss.squig.link/data/DT%20200%20R.txt	Audiosense DT 200	Audiosense DT200	in-ear	711
https://jaytiss.squig.link/data/Asg%201.5%20L.txt	Aurisonics Asg 1.5	Aurisonics Asg 1.5	ignore	711
https://jaytiss.squig.link/data/Asg%201.5%20R.txt	Aurisonics Asg 1.5	Aurisonics Asg 1.5	ignore	711
https://jaytiss.squig.link/data/asg%202.5%20Closed%20L.txt	Aurisonics Asg 2.5 1/2 Open	Aurisonics Asg 2.5 12 Open	ignore	711
https://jaytiss.squig.link/data/asg%202.5%20Closed%20R.txt	Aurisonics Asg 2.5 1/2 Open	Aurisonics Asg 2.5 12 Open	ignore	711
https://jaytiss.squig.link/data/Asg%202.5%201%204%20Open%20L.txt	Aurisonics Asg 2.5 2.5 3/4 Closed	Aurisonics Asg 2.5 2.5 34 Closed	ignore	711
https://jaytiss.squig.link/data/Asg%202.5%201%204%20Open%20R.txt	Aurisonics Asg 2.5 2.5 3/4 Closed	Aurisonics Asg 2.5 2.5 34 Closed	ignore	711
https://jaytiss.squig.link/data/Aure%20L.txt	AüR Audio Aure	AüR Audio Aure	in-ear	711
https://jaytiss.squig.link/data/Aure%20R.txt	AüR Audio Aure	AüR Audio Aure	in-ear	711
https://jaytiss.squig.link/data/MTPro%20L.txt	BASN MTPro	BASN MTPro	in-ear	711
https://jaytiss.squig.link/data/MTPro%20R.txt	BASN MTPro	BASN MTPro	in-ear	711
https://jaytiss.squig.link/data/Metalen%20L.txt	BASN Metalen	BASN Metalen	in-ear	711
https://jaytiss.squig.link/data/Metalen%20R.txt	BASN Metalen	BASN Metalen	in-ear	711
https://jaytiss.squig.link/data/MixPD%20L.txt	BASN Mix-PD	BASN Mix-PD	in-ear	711
https://jaytiss.squig.link/data/MixPD%20R.txt	BASN Mix-PD	BASN Mix-PD	in-ear	711
https://jaytiss.squig.link/data/Bl03%20L.txt	Blon BL03	BLON BL-03	in-ear	711
https://jaytiss.squig.link/data/Bl03%20R.txt	Blon BL03	BLON BL-03	in-ear	711
https://jaytiss.squig.link/data/Dynaquattro%20L.txt	Binary Dynaquattro	Binary Acoustics Dynaquattro	in-ear	711
https://jaytiss.squig.link/data/Dynaquattro%20R.txt	Binary Dynaquattro	Binary Acoustics Dynaquattro	in-ear	711
https://jaytiss.squig.link/data/Gizaudio%20%c3%97%20Binary%20Chopin%20L.txt	Binary x Gizaudio Chopin	Binary Acoustics x Gizaudio Chopin	in-ear	711
https://jaytiss.squig.link/data/Gizaudio%20%c3%97%20Binary%20Chopin%20R.txt	Binary x Gizaudio Chopin	Binary Acoustics x Gizaudio Chopin	in-ear	711
https://jaytiss.squig.link/data/CRAPRP%2035%20L.txt	CCA CRA PRO 	CCA CRA PRO	in-ear	711
https://jaytiss.squig.link/data/CRAPRP%2035%20R.txt	CCA CRA PRO 	CCA CRA PRO	in-ear	711
https://jaytiss.squig.link/data/CRAPRP%20Blue%20L.txt	CCA CRA PRO Bass/blue	CCA CRA PRO Bassblue	ignore	711
https://jaytiss.squig.link/data/CRAPRP%20Blue%20R.txt	CCA CRA PRO Bass/blue	CCA CRA PRO Bassblue	ignore	711
https://jaytiss.squig.link/data/CRAPRP%20Green%20L.txt	CCA CRA PRO High Rez/Green	CCA CRA PRO High RezGreen	ignore	711
https://jaytiss.squig.link/data/CRAPRP%20Green%20R.txt	CCA CRA PRO High Rez/Green	CCA CRA PRO High RezGreen	ignore	711
https://jaytiss.squig.link/data/CRAPRP%20Purple%20L.txt	CCA CRA PRO Normal/purple	CCA CRA PRO Normalpurple	ignore	711
https://jaytiss.squig.link/data/CRAPRP%20Purple%20R.txt	CCA CRA PRO Normal/purple	CCA CRA PRO Normalpurple	ignore	711
https://jaytiss.squig.link/data/Hydro%20L.txt	CCA Hydro 1100	CCA Hydro (on-on-off-off)	in-ear	711
https://jaytiss.squig.link/data/Hydro%20R.txt	CCA Hydro 1100	CCA Hydro (on-on-off-off)	in-ear	711
https://jaytiss.squig.link/data/Polaris%20L.txt	CCA Polaris UUUU	CCA Polaris (on-on-on-on)	in-ear	711
https://jaytiss.squig.link/data/Polaris%20R.txt	CCA Polaris UUUU	CCA Polaris (on-on-on-on)	in-ear	711
https://jaytiss.squig.link/data/Rhap%20DDDD%20L.txt		CCA Rhapsody (off-off-off-off)	in-ear	711
